# - Escoamento_Potencial de velocidade
# Coordenadas dos nos
156
51 1 6 80 186 89 190 119 141
52 1 6 93 230 169 145 171 143
53 1 6 77 95 228 149 147 167
54 1 6 169 228 95 173 147 151
55 1 6 93 169 95 143 151 153
56 1 6 95 77 46 149 47 155
57 1 6 95 46 93 155 157 153
58 1 6 89 180 45 133 161 159
59 1 6 89 45 80 159 48 141
60 1 6 180 230 93 184 145 163
61 1 6 93 46 45 157 49 165
62 1 6 93 45 180 165 161 163
# Propriedades do material
1
1 1
# Fontes e carregamentos distribuidos
0
# Condições de fronteira essenciais
5
76,0
85,0
86,0
225,0
241,0
# Fontes/cargas pontuais impostas
0
# Fluxo imposto na fronteira
17
3,86,73,74,0
11,82,59,64,0
14,59,82,53,0
15,81,50,51,0
16,81,56,57,0
18,83,59,65,0
19,56,83,58,0
21,42,79,43,0
22,77,78,41,2
23,42,78,44,0
29,50,79,52,0
44,186,129,127,0
45,186,82,127,0
53,77,228,167,2
53,228,149,147,0
54,228,147,151,0
55,143,151,153,0
# Condições de fronteira mistas  - Convecção natural
0
