# - Escoamento_Potencial de velocidade
# Coordenadas dos nos
135
135 1 3 105 68 90
136 1 3 88 89 90
137 1 3 88 90 68
138 1 3 86 85 92
139 1 3 91 17 86
140 1 3 91 86 92
141 1 3 88 68 18
142 1 3 18 17 91
143 1 3 18 91 88
144 1 3 87 88 91
145 1 3 85 112 111
146 1 3 85 111 92
147 1 3 93 109 87
148 1 3 91 92 93
149 1 3 91 93 87
150 1 3 92 110 93
151 1 3 111 110 92
152 1 3 131 109 93
153 1 3 131 93 110
154 1 3 86 17 69
155 1 3 69 16 95
156 1 3 69 95 86
157 1 3 94 112 85
158 1 3 86 95 94
159 1 3 86 94 85
160 1 3 98 84 76
161 1 3 76 118 97
162 1 3 76 97 98
163 1 3 95 16 99
164 1 3 95 99 96
165 1 3 98 97 96
166 1 3 98 96 99
167 1 3 99 16 4
168 1 3 84 98 99
169 1 3 99 4 117
170 1 3 99 117 84
171 1 3 94 95 96
172 1 3 113 112 94
173 1 3 113 94 96
174 1 3 132 114 97
175 1 3 132 97 118
176 1 3 114 113 96
177 1 3 114 96 97
178 1 3 84 117 116
179 1 3 82 100 76
180 1 3 119 76 100
181 1 3 100 82 120
182 1 3 133 119 100
183 1 3 133 100 120
184 1 3 84 116 83
185 1 3 83 82 76
186 1 3 83 76 84
187 1 3 115 83 116
188 1 3 115 6 102
189 1 3 121 120 82
190 1 3 101 121 82
191 1 3 101 82 83
192 1 3 83 115 102
193 1 3 83 102 101
194 1 3 35 34 103
195 1 3 102 6 35
196 1 3 103 101 102
197 1 3 103 102 35
198 1 3 122 121 101
199 1 3 122 101 103
200 1 3 34 74 104
201 1 3 104 74 123
202 1 3 103 34 104
203 1 3 104 123 122
204 1 3 104 122 103
# Propriedades do material
1
1 1
# Fontes e carregamentos distribuidos
0
# Condições de fronteira essenciais
7
9 0
10 0
38 0
39 0
128 0
129 0
135 0
# Fontes/cargas pontuais impostas
0
# Fluxo imposto na fronteira
60
1 25 26 0
2 37 36 0
7 37 10 0
13 73 30 0
14 30 31 0
19 8 31 0
