    ID de Nó     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
           1   2.0000e+03   5.5000e+02   0.0000e+00  -2.2034e+00   2.1485e-01   0.0000e+00   2.2138e+00
          78   1.3000e+03   0.0000e+00   0.0000e+00  -2.6296e+00  -1.0889e-01   0.0000e+00   2.6319e+00
          82   4.0000e+02   0.0000e+00   0.0000e+00  -2.0773e+00   3.0845e-02   0.0000e+00   2.0775e+00
          88   1.3000e+03   5.0000e+02   0.0000e+00  -4.0210e+00  -1.8288e-01   0.0000e+00   4.0252e+00
          95   2.0000e+03   2.0000e+02   0.0000e+00  -4.4923e+00   1.0476e-01   0.0000e+00   4.4935e+00
         107   2.7000e+03   2.0003e+02   0.0000e+00  -8.1653e+00   1.6430e-01   0.0000e+00   8.1669e+00
         111   3.7500e+03   0.0000e+00   0.0000e+00  -2.1274e+00  -3.8310e-02   0.0000e+00   2.1277e+00
         116   2.7000e+03   0.0000e+00   0.0000e+00  -6.1298e+00  -2.1574e-02   0.0000e+00   6.1298e+00
