    ID de Nó     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
           1   3.7000e+03   8.0000e+02   0.0000e+00  -2.1559e-06  -2.5293e-09   0.0000e+00   2.1559e-06
           2   2.0000e+03   1.3000e+03   0.0000e+00  -2.4135e-06   2.6246e-07   0.0000e+00   2.4277e-06
           3   5.0000e+02   8.0000e+02   0.0000e+00  -2.1256e-06   6.4872e-10   0.0000e+00   2.1256e-06
           4   1.3000e+03   8.0000e+02   0.0000e+00  -2.7115e-06  -3.0787e-09   0.0000e+00   2.7115e-06
           5   2.7000e+03   8.0000e+02   0.0000e+00  -6.9538e-06   1.0335e-08   0.0000e+00   6.9538e-06
        1404   1.3000e+03   1.3000e+03   0.0000e+00  -4.1480e-06   5.6927e-08   0.0000e+00   4.1484e-06
        1427   2.0000e+03   1.0000e+03   0.0000e+00  -4.6967e-06  -3.3674e-08   0.0000e+00   4.6968e-06
        1509   2.7000e+03   1.0000e+03   0.0000e+00  -8.5071e-06  -3.3361e-08   0.0000e+00   8.5072e-06
