    ID Elem.     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
         103   3.2898e+03   3.7458e+00   0.0000e+00  -2.7498e-06  -2.2369e-08   0.0000e+00   2.7499e-06
         105   3.2768e+03   3.7403e+00   0.0000e+00  -2.7895e-06  -2.3527e-08   0.0000e+00   2.7896e-06
         107   3.2638e+03   3.7327e+00   0.0000e+00  -2.8313e-06  -2.4783e-08   0.0000e+00   2.8314e-06
         109   3.2509e+03   3.7230e+00   0.0000e+00  -2.8754e-06  -2.6112e-08   0.0000e+00   2.8755e-06
         111   3.2379e+03   3.7107e+00   0.0000e+00  -2.9218e-06  -2.7464e-08   0.0000e+00   2.9219e-06
         113   3.2249e+03   3.6957e+00   0.0000e+00  -2.9707e-06  -2.8862e-08   0.0000e+00   2.9709e-06
         115   3.2119e+03   3.6774e+00   0.0000e+00  -3.0222e-06  -3.0319e-08   0.0000e+00   3.0224e-06
         117   3.1989e+03   3.6555e+00   0.0000e+00  -3.0765e-06  -3.1833e-08   0.0000e+00   3.0767e-06
         119   3.1860e+03   3.6306e+00   0.0000e+00  -3.1336e-06  -3.3322e-08   0.0000e+00   3.1338e-06
         121   3.1730e+03   3.6068e+00   0.0000e+00  -3.1939e-06  -3.4905e-08   0.0000e+00   3.1941e-06
         123   3.1601e+03   3.5962e+00   0.0000e+00  -3.2575e-06  -3.6713e-08   0.0000e+00   3.2577e-06
         125   3.1472e+03   3.6189e+00   0.0000e+00  -3.3246e-06  -3.8735e-08   0.0000e+00   3.3249e-06
         127   3.1343e+03   3.6832e+00   0.0000e+00  -3.3951e-06  -4.1015e-08   0.0000e+00   3.3954e-06
         129   3.1214e+03   3.7622e+00   0.0000e+00  -3.4688e-06  -4.3692e-08   0.0000e+00   3.4690e-06
         131   3.1084e+03   3.8184e+00   0.0000e+00  -3.5460e-06  -4.6425e-08   0.0000e+00   3.5463e-06
         133   3.0954e+03   3.8424e+00   0.0000e+00  -3.6273e-06  -4.9095e-08   0.0000e+00   3.6276e-06
         135   3.0824e+03   3.8450e+00   0.0000e+00  -3.7129e-06  -5.1514e-08   0.0000e+00   3.7133e-06
         137   3.0694e+03   3.8367e+00   0.0000e+00  -3.8027e-06  -5.3900e-08   0.0000e+00   3.8031e-06
         139   3.0564e+03   3.8238e+00   0.0000e+00  -3.8968e-06  -5.6266e-08   0.0000e+00   3.8972e-06
         141   3.0434e+03   3.8094e+00   0.0000e+00  -3.9954e-06  -5.8706e-08   0.0000e+00   3.9958e-06
         143   3.0305e+03   3.7954e+00   0.0000e+00  -4.0984e-06  -6.1186e-08   0.0000e+00   4.0989e-06
         145   3.0176e+03   3.7850e+00   0.0000e+00  -4.2061e-06  -6.3633e-08   0.0000e+00   4.2066e-06
         147   3.0046e+03   3.7829e+00   0.0000e+00  -4.3185e-06  -6.6316e-08   0.0000e+00   4.3190e-06
         149   2.9917e+03   3.7916e+00   0.0000e+00  -4.4356e-06  -6.9033e-08   0.0000e+00   4.4362e-06
         151   2.9788e+03   3.8100e+00   0.0000e+00  -4.5573e-06  -7.1909e-08   0.0000e+00   4.5578e-06
         153   2.9658e+03   3.8330e+00   0.0000e+00  -4.6831e-06  -7.4682e-08   0.0000e+00   4.6837e-06
         155   2.9528e+03   3.8503e+00   0.0000e+00  -4.8128e-06  -7.7345e-08   0.0000e+00   4.8135e-06
         157   2.9398e+03   3.8462e+00   0.0000e+00  -4.9461e-06  -7.9512e-08   0.0000e+00   4.9467e-06
         159   2.9268e+03   3.8120e+00   0.0000e+00  -5.0828e-06  -8.1138e-08   0.0000e+00   5.0834e-06
         161   2.9138e+03   3.7610e+00   0.0000e+00  -5.2231e-06  -8.2301e-08   0.0000e+00   5.2238e-06
         163   2.9009e+03   3.7176e+00   0.0000e+00  -5.3662e-06  -8.2900e-08   0.0000e+00   5.3668e-06
         165   2.8879e+03   3.6938e+00   0.0000e+00  -5.5108e-06  -8.3043e-08   0.0000e+00   5.5114e-06
         167   2.8750e+03   3.6868e+00   0.0000e+00  -5.6557e-06  -8.3045e-08   0.0000e+00   5.6563e-06
         169   2.8620e+03   3.6892e+00   0.0000e+00  -5.8001e-06  -8.2483e-08   0.0000e+00   5.8007e-06
         171   2.8490e+03   3.6953e+00   0.0000e+00  -5.9427e-06  -8.1147e-08   0.0000e+00   5.9433e-06
         173   2.8361e+03   3.7021e+00   0.0000e+00  -6.0822e-06  -7.8920e-08   0.0000e+00   6.0827e-06
         175   2.8231e+03   3.7081e+00   0.0000e+00  -6.2170e-06  -7.5878e-08   0.0000e+00   6.2175e-06
         177   2.8101e+03   3.7129e+00   0.0000e+00  -6.3455e-06  -7.1730e-08   0.0000e+00   6.3459e-06
         179   2.7972e+03   3.7167e+00   0.0000e+00  -6.4658e-06  -6.6405e-08   0.0000e+00   6.4661e-06
         181   2.7842e+03   3.7197e+00   0.0000e+00  -6.5760e-06  -6.0148e-08   0.0000e+00   6.5763e-06
         183   2.7713e+03   3.7220e+00   0.0000e+00  -6.6743e-06  -5.2857e-08   0.0000e+00   6.6745e-06
         185   2.7583e+03   3.7247e+00   0.0000e+00  -6.7590e-06  -4.4455e-08   0.0000e+00   6.7591e-06
         187   2.7454e+03   3.7319e+00   0.0000e+00  -6.8283e-06  -3.5244e-08   0.0000e+00   6.8284e-06
         189   2.7325e+03   3.7515e+00   0.0000e+00  -6.8809e-06  -2.5384e-08   0.0000e+00   6.8809e-06
         191   2.7195e+03   3.7911e+00   0.0000e+00  -6.9155e-06  -1.5009e-08   0.0000e+00   6.9155e-06
         193   2.7065e+03   3.8410e+00   0.0000e+00  -6.9313e-06  -3.8705e-09   0.0000e+00   6.9313e-06
         195   2.6934e+03   3.8510e+00   0.0000e+00  -6.9278e-06   7.9486e-09   0.0000e+00   6.9278e-06
         197   2.6802e+03   3.7947e+00   0.0000e+00  -6.9042e-06   1.9413e-08   0.0000e+00   6.9043e-06
         199   2.6671e+03   3.7288e+00   0.0000e+00  -6.8610e-06   2.9987e-08   0.0000e+00   6.8610e-06
         201   2.6540e+03   3.6946e+00   0.0000e+00  -6.7989e-06   4.0055e-08   0.0000e+00   6.7990e-06
         203   2.6409e+03   3.6852e+00   0.0000e+00  -6.7192e-06   4.9830e-08   0.0000e+00   6.7194e-06
         205   2.6278e+03   3.6925e+00   0.0000e+00  -6.6230e-06   5.8869e-08   0.0000e+00   6.6233e-06
         207   2.6146e+03   3.7189e+00   0.0000e+00  -6.5118e-06   6.7315e-08   0.0000e+00   6.5121e-06
         209   2.6014e+03   3.7715e+00   0.0000e+00  -6.3871e-06   7.5269e-08   0.0000e+00   6.3875e-06
         211   2.5882e+03   3.8417e+00   0.0000e+00  -6.2516e-06   8.2134e-08   0.0000e+00   6.2522e-06
         213   2.5749e+03   3.8702e+00   0.0000e+00  -6.1081e-06   8.7133e-08   0.0000e+00   6.1087e-06
         215   2.5617e+03   3.8166e+00   0.0000e+00  -5.9566e-06   9.0567e-08   0.0000e+00   5.9573e-06
         217   2.5485e+03   3.7419e+00   0.0000e+00  -5.7975e-06   9.2684e-08   0.0000e+00   5.7982e-06
         219   2.5354e+03   3.7040e+00   0.0000e+00  -5.6333e-06   9.3937e-08   0.0000e+00   5.6341e-06
         221   2.5223e+03   3.6970e+00   0.0000e+00  -5.4664e-06   9.5348e-08   0.0000e+00   5.4673e-06
         223   2.5092e+03   3.7075e+00   0.0000e+00  -5.2975e-06   9.6604e-08   0.0000e+00   5.2984e-06
         225   2.4961e+03   3.7347e+00   0.0000e+00  -5.1269e-06   9.7766e-08   0.0000e+00   5.1278e-06
         227   2.4829e+03   3.7814e+00   0.0000e+00  -4.9555e-06   9.8703e-08   0.0000e+00   4.9565e-06
