    ID de Nó     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
           1   2.0000e+03   5.5000e+02   0.0000e+00  -2.1668e-06   1.9738e-07   0.0000e+00   2.1758e-06
         853   1.3000e+03   0.0000e+00   0.0000e+00  -2.7079e-06  -1.1559e-08   0.0000e+00   2.7079e-06
         868   4.0000e+02   0.0000e+00   0.0000e+00  -2.0808e-06   9.5040e-09   0.0000e+00   2.0808e-06
         882   1.3000e+03   5.0000e+02   0.0000e+00  -4.3608e-06  -5.4084e-08   0.0000e+00   4.3611e-06
         895   2.0000e+03   2.0000e+02   0.0000e+00  -4.8630e-06   9.8089e-08   0.0000e+00   4.8640e-06
         927   2.7000e+03   2.0003e+02   0.0000e+00  -9.7832e-06  -2.9902e-07   0.0000e+00   9.7877e-06
         942   3.7500e+03   0.0000e+00   0.0000e+00  -2.1357e-06  -1.1740e-08   0.0000e+00   2.1357e-06
         960   2.7000e+03   0.0000e+00   0.0000e+00  -6.8352e-06   5.8055e-10   0.0000e+00   6.8352e-06
