# - Escoamento_Potencial de velocidade
# Coordenadas dos nos
135
135 1 3 134 39 104
136 1 3 100 102 104
137 1 3 100 104 39
138 1 3 96 94 108
139 1 3 106 37 96
140 1 3 106 96 108
141 1 3 100 39 38
142 1 3 38 37 106
143 1 3 38 106 100
144 1 3 98 100 106
145 1 3 94 153 151
146 1 3 94 151 108
147 1 3 110 142 98
148 1 3 106 108 110
149 1 3 106 110 98
150 1 3 108 149 110
151 1 3 151 149 108
152 1 3 198 142 110
153 1 3 198 110 149
154 1 3 96 37 36
155 1 3 36 35 114
156 1 3 36 114 96
157 1 3 112 153 94
158 1 3 96 114 112
159 1 3 96 112 94
160 1 3 120 92 76
161 1 3 76 165 118
162 1 3 76 118 120
163 1 3 114 35 122
164 1 3 114 122 116
165 1 3 120 118 116
166 1 3 120 116 122
167 1 3 122 35 69
168 1 3 92 120 122
169 1 3 122 69 163
170 1 3 122 163 92
171 1 3 112 114 116
172 1 3 155 153 112
173 1 3 155 112 116
174 1 3 201 157 118
175 1 3 201 118 165
176 1 3 157 155 116
177 1 3 157 116 118
178 1 3 92 163 161
179 1 3 88 124 76
180 1 3 167 76 124
181 1 3 124 88 169
182 1 3 204 167 124
183 1 3 204 124 169
184 1 3 92 161 90
185 1 3 90 88 76
186 1 3 90 76 92
187 1 3 159 90 161
188 1 3 159 71 128
189 1 3 171 169 88
190 1 3 126 171 88
191 1 3 126 88 90
192 1 3 90 159 128
193 1 3 90 128 126
194 1 3 61 60 130
195 1 3 128 71 61
196 1 3 130 126 128
197 1 3 130 128 61
198 1 3 173 171 126
199 1 3 173 126 130
200 1 3 60 59 132
201 1 3 132 59 175
202 1 3 130 60 132
203 1 3 132 175 173
204 1 3 132 173 130
# Propriedades do material
1
1 1
# Fontes e carregamentos distribuidos
0
# Condições de fronteira essenciais
7
64,0
65,0
74,0
75,0
191,0
193,0
209,0
# Fontes/cargas pontuais impostas
0
# Fluxo imposto na fronteira
40
1,48,49,0
2,63,62,0
7,63,75,0
14,54,55,0
19,73,55,0
20,73,62,0
24,33,34,0
25,33,32,0
28,31,30,2
29,31,67,2
29,32,67,0
32,30,66,2
43,41,42,0
49,41,40,0
50,68,34,0
51,68,40,0
70,43,42,0
72,70,44,0
73,70,48,0
74,44,43,0
80,72,49,0
81,72,50,0
87,51,50,0
130,136,134,2
131,196,136,2
134,134,66,2
140,106,108,0
149,106,110,0
150,108,110,0
158,114,112,0
162,118,120,0
165,120,118,0
171,112,114,0
188,71,128,0
193,128,126,0
195,128,71,0
197,130,128,0
199,126,130,0
202,130,132,0
204,132,130,0
# Condições de fronteira mistas  - Convecção natural
0
