    ID Elem.     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
           1   3.9026e+03   7.6919e+00   0.0000e+00  -2.0964e-06  -2.1687e-09   0.0000e+00   2.0964e-06
           3   3.8749e+03   7.7626e+00   0.0000e+00  -2.1008e-06  -2.8462e-09   0.0000e+00   2.1008e-06
           5   3.8472e+03   7.8046e+00   0.0000e+00  -2.1064e-06  -3.5632e-09   0.0000e+00   2.1064e-06
           7   3.8194e+03   7.8208e+00   0.0000e+00  -2.1133e-06  -4.3191e-09   0.0000e+00   2.1133e-06
           9   3.7916e+03   7.8231e+00   0.0000e+00  -2.1216e-06  -5.1301e-09   0.0000e+00   2.1216e-06
          11   3.7639e+03   7.8204e+00   0.0000e+00  -2.1314e-06  -5.9910e-09   0.0000e+00   2.1314e-06
          13   3.7366e+03   7.8149e+00   0.0000e+00  -2.1425e-06  -6.8232e-09   0.0000e+00   2.1425e-06
          15   3.7096e+03   7.8129e+00   0.0000e+00  -2.1551e-06  -7.7964e-09   0.0000e+00   2.1551e-06
          17   3.6826e+03   7.8126e+00   0.0000e+00  -2.1695e-06  -8.8549e-09   0.0000e+00   2.1695e-06
          19   3.6557e+03   7.8128e+00   0.0000e+00  -2.1858e-06  -1.0021e-08   0.0000e+00   2.1858e-06
          21   3.6287e+03   7.8134e+00   0.0000e+00  -2.2042e-06  -1.1302e-08   0.0000e+00   2.2042e-06
          23   3.6018e+03   7.8137e+00   0.0000e+00  -2.2249e-06  -1.2727e-08   0.0000e+00   2.2249e-06
          25   3.5749e+03   7.8140e+00   0.0000e+00  -2.2482e-06  -1.4279e-08   0.0000e+00   2.2482e-06
          27   3.5480e+03   7.8141e+00   0.0000e+00  -2.2743e-06  -1.6037e-08   0.0000e+00   2.2744e-06
          29   3.5210e+03   7.8141e+00   0.0000e+00  -2.3036e-06  -1.7946e-08   0.0000e+00   2.3037e-06
          31   3.4941e+03   7.8139e+00   0.0000e+00  -2.3364e-06  -2.0086e-08   0.0000e+00   2.3365e-06
          33   3.4672e+03   7.8133e+00   0.0000e+00  -2.3731e-06  -2.2454e-08   0.0000e+00   2.3732e-06
          35   3.4403e+03   7.8124e+00   0.0000e+00  -2.4141e-06  -2.5090e-08   0.0000e+00   2.4143e-06
          37   3.4133e+03   7.8110e+00   0.0000e+00  -2.4599e-06  -2.8027e-08   0.0000e+00   2.4601e-06
          39   3.3864e+03   7.8087e+00   0.0000e+00  -2.5111e-06  -3.1277e-08   0.0000e+00   2.5113e-06
