    ID de Nó     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
           1   2.0000e+03   5.5000e+02   0.0000e+00  -2.1917e-06   2.1030e-07   0.0000e+00   2.2017e-06
         277   1.3000e+03   0.0000e+00   0.0000e+00  -2.6920e-06  -1.8095e-08   0.0000e+00   2.6921e-06
         285   4.0000e+02   0.0000e+00   0.0000e+00  -2.0806e-06   1.6179e-08   0.0000e+00   2.0807e-06
         294   1.3000e+03   5.0000e+02   0.0000e+00  -4.2569e-06   8.1813e-09   0.0000e+00   4.2569e-06
         305   2.0000e+03   2.0000e+02   0.0000e+00  -4.7512e-06   1.6496e-07   0.0000e+00   4.7540e-06
         328   2.7000e+03   2.0003e+02   0.0000e+00  -9.4044e-06  -7.8159e-07   0.0000e+00   9.4368e-06
         336   3.7500e+03   0.0000e+00   0.0000e+00  -2.1327e-06  -2.2353e-08   0.0000e+00   2.1328e-06
         346   2.7000e+03   0.0000e+00   0.0000e+00  -6.6907e-06  -8.2379e-09   0.0000e+00   6.6907e-06
