    ID de Nó     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
           1   2.0000e+03   5.5000e+02   0.0000e+00  -2.1529e-06   1.8994e-07   0.0000e+00   2.1613e-06
        1051   1.3000e+03   0.0000e+00   0.0000e+00  -2.7102e-06  -1.0694e-08   0.0000e+00   2.7102e-06
        1068   4.0000e+02   0.0000e+00   0.0000e+00  -2.0803e-06   8.5110e-09   0.0000e+00   2.0803e-06
        1083   1.3000e+03   5.0000e+02   0.0000e+00  -4.4257e-06  -1.2433e-08   0.0000e+00   4.4258e-06
        1097   2.0000e+03   2.0000e+02   0.0000e+00  -4.9583e-06   1.0128e-07   0.0000e+00   4.9593e-06
        1132   2.7000e+03   2.0003e+02   0.0000e+00  -1.0019e-05  -7.2028e-08   0.0000e+00   1.0019e-05
        1150   3.7500e+03   0.0000e+00   0.0000e+00  -2.1370e-06  -1.0642e-08   0.0000e+00   2.1370e-06
        1169   2.7000e+03   0.0000e+00   0.0000e+00  -6.8341e-06   2.9027e-09   0.0000e+00   6.8341e-06
