    ID Elem.     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
         194   3.0101e+03   4.6891e+02   0.0000e+00  -1.1946e-06  -1.9853e-06   0.0000e+00   2.3170e-06
         198   3.0076e+03   6.5293e+01   0.0000e+00  -4.2230e-06  -5.7847e-07   0.0000e+00   4.2625e-06
         199   2.9197e+03   2.9104e+02   0.0000e+00  -3.3732e-06  -3.2725e-06   0.0000e+00   4.6997e-06
         200   2.6062e+03   4.1486e+01   0.0000e+00  -6.4801e-06   4.2779e-07   0.0000e+00   6.4943e-06
         203   2.7859e+03   1.9508e+02   0.0000e+00  -7.9448e-06  -3.0266e-06   0.0000e+00   8.5018e-06
         204   2.8119e+03   4.4244e+01   0.0000e+00  -6.3372e-06  -4.5128e-07   0.0000e+00   6.3533e-06
         208   2.4013e+03   5.0639e+02   0.0000e+00  -1.0060e-06   2.3122e-06   0.0000e+00   2.5215e-06
         209   2.3010e+03   7.4692e+02   0.0000e+00  -7.2011e-07   3.1715e-07   0.0000e+00   7.8685e-07
         210   2.3664e+03   6.9868e+02   0.0000e+00  -3.7984e-07   7.2900e-07   0.0000e+00   8.2202e-07
         212   2.3750e+03   6.1854e+02   0.0000e+00  -5.4770e-07   1.3694e-06   0.0000e+00   1.4749e-06
         219   2.1133e+03   7.5456e+02   0.0000e+00  -1.5119e-06   1.1825e-07   0.0000e+00   1.5165e-06
         223   1.9361e+03   7.5659e+02   0.0000e+00  -1.7278e-06  -9.1251e-09   0.0000e+00   1.7278e-06
         229   2.5500e+03   2.4168e+02   0.0000e+00  -5.3745e-06   4.2987e-06   0.0000e+00   6.8822e-06
         230   2.4707e+03   3.3740e+01   0.0000e+00  -4.7995e-06   4.4208e-07   0.0000e+00   4.8198e-06
         232   2.6304e+03   1.8321e+02   0.0000e+00  -8.5320e-06   2.5768e-06   0.0000e+00   8.9127e-06
         237   2.3574e+03   2.9857e+01   0.0000e+00  -3.3379e-06   3.9563e-07   0.0000e+00   3.3612e-06
         240   2.4869e+03   3.1844e+02   0.0000e+00  -3.0452e-06   4.0132e-06   0.0000e+00   5.0378e-06
         243   2.4378e+03   4.0798e+02   0.0000e+00  -1.7531e-06   3.2187e-06   0.0000e+00   3.6652e-06
