    ID de Nó     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
           1   2.0000e+03   5.5000e+02   0.0000e+00  -2.1892e-06   2.7765e-07   0.0000e+00   2.2068e-06
         453   1.3000e+03   0.0000e+00   0.0000e+00  -2.7170e-06  -2.6293e-08   0.0000e+00   2.7172e-06
         458   4.0000e+02   0.0000e+00   0.0000e+00  -2.0829e-06   2.5796e-08   0.0000e+00   2.0831e-06
         474   1.3000e+03   5.0000e+02   0.0000e+00  -4.0817e-06  -2.6236e-08   0.0000e+00   4.0817e-06
         491   2.0000e+03   2.0000e+02   0.0000e+00  -4.3778e-06   1.8397e-08   0.0000e+00   4.3778e-06
         515   2.7000e+03   2.0003e+02   0.0000e+00  -7.9066e-06  -1.2387e-07   0.0000e+00   7.9076e-06
         530   3.7500e+03   0.0000e+00   0.0000e+00  -2.1412e-06  -3.3433e-08   0.0000e+00   2.1415e-06
         535   2.7000e+03   0.0000e+00   0.0000e+00  -6.9917e-06  -1.7289e-08   0.0000e+00   6.9918e-06
