Information listing created by	User
Date	10-Dec-2023 23:25:06
Current work part	C:\Users\User\Desktop\Nx\Malhas Base\Tri3\GeometriaBase_Tri3_fem.fem
Node name	DESKTOP-RF


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh                    | Mesh Collector | Connected Nodes
  71                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 21 59 57
  72                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 5 60 22
  73                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 5 25 60
  74                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 22 59 21
  75                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 22 60 59
  76                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 47 72 24
  77                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 45 71 63
  78                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 26 63 71
  79                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 63 27 45
  80                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 7 63 26
  81                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 7 27 63
  82                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 47 46 72
  83                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 46 71 45
  84                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 46 47 71
  85                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 23 72 46
  86                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 23 65 6
  87                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 28 45 27
  88                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 64 45 28
  89                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 64 46 45
  90                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 46 65 23
  91                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 46 64 65
  92                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 35 66 34
  93                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 65 35 6
  94                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 66 65 64
  95                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 66 35 65
  96                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 29 64 28
  97                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 29 66 64
  98                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 34 67 74
  99                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 67 73 74
  100                  | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 66 67 34
  101                  | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 67 29 73
  102                  | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 67 66 29
  103                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 76 119 118
  104                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 127 126 78
  105                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 75 9 129
  106                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 75 129 77
  107                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 127 78 79
  108                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 79 128 135
  109                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 79 135 127
  110                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 79 78 77
  111                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 129 128 79
  112                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 129 79 77
  113                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 33 32 80
  114                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 123 74 33
  115                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 123 33 124
  116                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 80 125 124
  117                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 80 124 33
  118                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 32 75 77
  119                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 32 77 80
  120                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 81 78 126
  121                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 134 125 81
  122                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 134 81 126
  123                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 81 125 80
  124                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 80 77 78
