    ID de Nó     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
           1   2.0000e+03   5.5000e+02   0.0000e+00  -2.0203e-06   2.8450e-07   0.0000e+00   2.0403e-06
          52   1.3000e+03   0.0000e+00   0.0000e+00  -2.6726e-06  -7.8960e-08   0.0000e+00   2.6738e-06
          55   4.0000e+02   0.0000e+00   0.0000e+00  -2.0841e-06   4.1104e-08   0.0000e+00   2.0845e-06
          60   1.3000e+03   5.0000e+02   0.0000e+00  -3.9757e-06   1.1942e-07   0.0000e+00   3.9775e-06
          65   2.0000e+03   2.0000e+02   0.0000e+00  -3.8953e-06   1.5753e-07   0.0000e+00   3.8985e-06
          74   2.7000e+03   2.0003e+02   0.0000e+00  -6.8646e-06  -1.3790e-07   0.0000e+00   6.8659e-06
          77   3.7500e+03   0.0000e+00   0.0000e+00  -2.1201e-06  -3.8765e-08   0.0000e+00   2.1205e-06
          81   2.7000e+03   0.0000e+00   0.0000e+00  -5.8702e-06  -1.2760e-07   0.0000e+00   5.8716e-06
