Information listing created by	User
Date	10-Dec-2023 21:57:36
Current work part	C:\Users\User\Desktop\Nx\geometria finalSim_fem4.fem
Node name	DESKTOP-RF


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh                    | Mesh Collector | Connected Nodes
  59                   | CTRIA6         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 149 88 6 124 35 129
  60                   | CTRIA6         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 149 6 150 129 128 153
  61                   | CTRIA6         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 92 139 161 112 141 130
  62                   | CTRIA6         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 161 145 91 146 132 131
  63                   | CTRIA6         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 161 91 92 131 133 130
  64                   | CTRIA6         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 162 150 91 154 126 134
  65                   | CTRIA6         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 162 91 145 134 132 147
  66                   | CTRIA6         | 2d_mesh(1)_reflected(1) | Thin Shell(1)  | 92 91 142 133 127 107
 
------------------------------------------------------------
 
