Information listing created by	User
Date	08-Dec-2023 22:29:30
Current work part	C:\Users\User\Documents\GitHub\MComp_24\NX\geometria finalSim_fem12.fem
Node name	DESKTOP-RF


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh                    | Mesh Collector | Connected Nodes
  71                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 43 21 19
  72                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 70 22 44
  73                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 70 48 22
  74                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 44 21 43
  75                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 44 22 21
  76                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 9 46 47
  77                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 7 1 25
  78                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 49 25 1
  79                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 25 50 7
  80                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 72 25 49
  81                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 72 50 25
  82                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 9 8 46
  83                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 8 1 7
  84                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 8 9 1
  85                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 45 46 8
  86                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 45 27 71
  87                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 51 7 50
  88                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 26 7 51
  89                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 26 8 7
  90                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 8 27 45
  91                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 8 26 27
  92                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 61 28 60
  93                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(1)  | 27 61 71
