    ID de Nó     Coord. X     Coord. Y     Coord. Z      Escalar
           1   2.0000e+03   5.5000e+02   0.0000e+00  -7.7168e+00
          75   1.3000e+03   0.0000e+00   0.0000e+00  -9.7094e+00
          76   4.0000e+02   0.0000e+00   0.0000e+00  -1.1873e+01
          81   1.3000e+03   5.0000e+02   0.0000e+00  -9.6883e+00
          87   2.0000e+03   2.0000e+02   0.0000e+00  -7.6406e+00
          94   2.7000e+03   2.0003e+02   0.0000e+00  -4.2257e+00
         100   3.7500e+03   0.0000e+00   0.0000e+00  -5.2742e-01
         102   2.7000e+03   0.0000e+00   0.0000e+00  -4.2824e+00
