    ID de Nó     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
           1   2.0000e+03   5.5000e+02   0.0000e+00  -2.0971e-06   3.1493e-07   0.0000e+00   2.1206e-06
         243   1.3000e+03   0.0000e+00   0.0000e+00  -2.7121e-06  -7.0633e-08   0.0000e+00   2.7130e-06
         246   4.0000e+02   0.0000e+00   0.0000e+00  -2.0912e-06   3.4807e-08   0.0000e+00   2.0914e-06
         258   1.3000e+03   5.0000e+02   0.0000e+00  -4.0076e-06   7.7194e-08   0.0000e+00   4.0083e-06
         271   2.0000e+03   2.0000e+02   0.0000e+00  -3.9875e-06   1.7779e-07   0.0000e+00   3.9915e-06
         288   2.7000e+03   2.0003e+02   0.0000e+00  -7.2567e-06   1.7080e-07   0.0000e+00   7.2587e-06
         299   3.7500e+03   0.0000e+00   0.0000e+00  -2.1298e-06  -3.5690e-08   0.0000e+00   2.1301e-06
         303   2.7000e+03   0.0000e+00   0.0000e+00  -6.8459e-06   1.8736e-07   0.0000e+00   6.8485e-06
