    ID de Nó     Coord. X     Coord. Y     Coord. Z      Escalar
         228  -5.6021e-14   2.6667e+02   0.0000e+00  -1.2845e+01
         229  -1.6793e-13   5.3333e+02   0.0000e+00  -1.2855e+01
         230   0.0000e+00   1.3333e+02   0.0000e+00  -1.2842e+01
         231  -2.2389e-13   6.6667e+02   0.0000e+00  -1.2859e+01
         232  -1.1198e-13   4.0000e+02   0.0000e+00  -1.2850e+01
         233   2.3685e+02   8.0000e+02   0.0000e+00  -1.2391e+01
         234   4.7370e+02   8.0000e+02   0.0000e+00  -1.1936e+01
         235   6.8976e+02   8.0000e+02   0.0000e+00  -1.1550e+01
         236   8.6391e+02   8.0000e+02   0.0000e+00  -1.1297e+01
         237   7.7683e+02   8.0000e+02   0.0000e+00  -1.1414e+01
         238   5.8173e+02   8.0000e+02   0.0000e+00  -1.1737e+01
         239   3.5528e+02   8.0000e+02   0.0000e+00  -1.2161e+01
         240   1.1843e+02   8.0000e+02   0.0000e+00  -1.2624e+01
         241   9.3195e+02   8.0000e+02   0.0000e+00  -1.1231e+01
         242   1.5841e+03   0.0000e+00   0.0000e+00  -9.1403e+00
         243   1.3000e+03   0.0000e+00   0.0000e+00  -9.8618e+00
         244   1.0040e+03   0.0000e+00   0.0000e+00  -1.0654e+01
         245   7.0199e+02   0.0000e+00   0.0000e+00  -1.1377e+01
         246   4.0000e+02   0.0000e+00   0.0000e+00  -1.2027e+01
         247   2.0000e+02   0.0000e+00   0.0000e+00  -1.2438e+01
         248   3.0000e+02   0.0000e+00   0.0000e+00  -1.2233e+01
         249   1.0000e+02   0.0000e+00   0.0000e+00  -1.2640e+01
         250   8.5299e+02   0.0000e+00   0.0000e+00  -1.1028e+01
         251   5.5100e+02   0.0000e+00   0.0000e+00  -1.1708e+01
         252   1.1520e+03   0.0000e+00   0.0000e+00  -1.0265e+01
         253   1.4420e+03   0.0000e+00   0.0000e+00  -9.4842e+00
         254   1.6920e+03   0.0000e+00   0.0000e+00  -8.9359e+00
         255   1.0228e+03   6.8520e+02   0.0000e+00  -1.1102e+01
         256   1.0879e+03   5.8787e+02   0.0000e+00  -1.0811e+01
         257   1.1852e+03   5.2284e+02   0.0000e+00  -1.0370e+01
         258   1.3000e+03   5.0000e+02   0.0000e+00  -9.8404e+00
         259   1.4148e+03   5.2284e+02   0.0000e+00  -9.3009e+00
         260   1.5121e+03   5.8787e+02   0.0000e+00  -8.8318e+00
         261   1.5772e+03   6.8520e+02   0.0000e+00  -8.5142e+00
         262   1.5494e+03   6.3333e+02   0.0000e+00  -8.6517e+00
         263   1.5942e+03   7.4147e+02   0.0000e+00  -8.4347e+00
         264   1.0058e+03   7.4147e+02   0.0000e+00  -1.1177e+01
         265   1.0506e+03   6.3333e+02   0.0000e+00  -1.0977e+01
         266   1.1333e+03   5.5056e+02   0.0000e+00  -1.0605e+01
         267   1.4667e+03   5.5056e+02   0.0000e+00  -9.0529e+00
         268   1.2415e+03   5.0576e+02   0.0000e+00  -1.0111e+01
         269   1.3585e+03   5.0576e+02   0.0000e+00  -9.5666e+00
         270   2.1414e+03   1.4142e+02   0.0000e+00  -6.9455e+00
         271   2.0000e+03   2.0000e+02   0.0000e+00  -7.7813e+00
         272   1.8586e+03   1.4142e+02   0.0000e+00  -8.5159e+00
         273   1.9235e+03   1.8477e+02   0.0000e+00  -8.1753e+00
         274   1.8152e+03   7.6536e+01   0.0000e+00  -8.7349e+00
         275   2.0765e+03   1.8477e+02   0.0000e+00  -7.3559e+00
         276   2.1848e+03   7.6536e+01   0.0000e+00  -6.6337e+00
         277   1.7416e+03   8.0000e+02   0.0000e+00  -8.2952e+00
         278   1.9246e+03   8.0000e+02   0.0000e+00  -8.0084e+00
         279   2.1522e+03   8.0000e+02   0.0000e+00  -7.6428e+00
         280   2.0384e+03   8.0000e+02   0.0000e+00  -7.8160e+00
         281   1.8331e+03   8.0000e+02   0.0000e+00  -8.1611e+00
         282   1.6708e+03   8.0000e+02   0.0000e+00  -8.3714e+00
         283   2.2761e+03   8.0000e+02   0.0000e+00  -7.5013e+00
         284   2.4166e+03   6.0348e+02   0.0000e+00  -7.2860e+00
         285   2.4478e+03   4.7513e+02   0.0000e+00  -6.9744e+00
         286   2.4995e+03   3.5371e+02   0.0000e+00  -6.4535e+00
         287   2.5804e+03   2.4981e+02   0.0000e+00  -5.6261e+00
         288   2.7000e+03   2.0003e+02   0.0000e+00  -4.3029e+00
         289   2.8637e+03   2.9721e+02   0.0000e+00  -2.6431e+00
         290   2.9689e+03   5.3424e+02   0.0000e+00  -1.7027e+00
         291   2.4041e+03   7.0138e+02   0.0000e+00  -7.4062e+00
         292   2.7928e+03   2.2941e+02   0.0000e+00  -3.3791e+00
         293   2.9925e+03   6.6619e+02   0.0000e+00  -1.5140e+00
         294   2.9282e+03   4.1038e+02   0.0000e+00  -2.0645e+00
         295   2.4299e+03   5.3876e+02   0.0000e+00  -7.1518e+00
         296   2.6358e+03   2.1399e+02   0.0000e+00  -5.0179e+00
         297   2.5355e+03   2.9828e+02   0.0000e+00  -6.0805e+00
         298   2.4707e+03   4.1316e+02   0.0000e+00  -6.7418e+00
         299   3.7500e+03   0.0000e+00   0.0000e+00  -5.2656e-01
         300   3.4838e+03   0.0000e+00   0.0000e+00  -1.1182e+00
         301   3.2186e+03   0.0000e+00   0.0000e+00  -1.8119e+00
         302   2.9571e+03   0.0000e+00   0.0000e+00  -2.7949e+00
         303   2.7000e+03   0.0000e+00   0.0000e+00  -4.3371e+00
         304   2.4906e+03   0.0000e+00   0.0000e+00  -5.6345e+00
         305   2.3389e+03   0.0000e+00   0.0000e+00  -6.2530e+00
         306   3.8750e+03   0.0000e+00   0.0000e+00  -2.6175e-01
         307   3.0879e+03   0.0000e+00   0.0000e+00  -2.2453e+00
         308   3.3512e+03   0.0000e+00   0.0000e+00  -1.4442e+00
         309   3.6169e+03   0.0000e+00   0.0000e+00  -8.1526e-01
         310   2.8286e+03   0.0000e+00   0.0000e+00  -3.4829e+00
         311   2.5953e+03   0.0000e+00   0.0000e+00  -5.0373e+00
         312   2.4148e+03   0.0000e+00   0.0000e+00  -5.9800e+00
         313   2.2695e+03   0.0000e+00   0.0000e+00  -6.4260e+00
         314   3.2500e+03   8.0000e+02   0.0000e+00  -1.2872e+00
         315   3.5000e+03   8.0000e+02   0.0000e+00  -9.2062e-01
         316   3.7500e+03   8.0000e+02   0.0000e+00  -4.7356e-01
         317   3.6250e+03   8.0000e+02   0.0000e+00  -7.0298e-01
         318   3.3750e+03   8.0000e+02   0.0000e+00  -1.1194e+00
         319   3.8750e+03   8.0000e+02   0.0000e+00  -2.3828e-01
         320   3.1250e+03   8.0000e+02   0.0000e+00  -1.4068e+00
         321   4.0000e+03   5.3333e+02   0.0000e+00   0.0000e+00
         322   4.0000e+03   2.6667e+02   0.0000e+00   0.0000e+00
         323   4.0000e+03   6.6667e+02   0.0000e+00   0.0000e+00
         324   4.0000e+03   1.3333e+02   0.0000e+00   0.0000e+00
         325   4.0000e+03   4.0000e+02   0.0000e+00   0.0000e+00
         326   5.5890e-14   0.0000e+00   0.0000e+00  -1.2841e+01
         327  -2.7984e-13   8.0000e+02   0.0000e+00  -1.2860e+01
         328   1.0000e+03   8.0000e+02   0.0000e+00  -1.1203e+01
         329   1.8000e+03   0.0000e+00   0.0000e+00  -8.8273e+00
         330   1.6000e+03   8.0000e+02   0.0000e+00  -8.4039e+00
         331   2.2000e+03   0.0000e+00   0.0000e+00  -6.5007e+00
         332   2.4000e+03   8.0000e+02   0.0000e+00  -7.4463e+00
         333   3.0000e+03   8.0000e+02   0.0000e+00  -1.4518e+00
         334   4.0000e+03   0.0000e+00   0.0000e+00   0.0000e+00
         335   4.0000e+03   8.0000e+02   0.0000e+00   0.0000e+00
