    ID de Nó     Coord. X     Coord. Y     Coord. Z      Escalar
           1   2.0000e+03   5.5000e+02   0.0000e+00  -7.7322e+06
         243   1.3000e+03   0.0000e+00   0.0000e+00  -9.7161e+06
         251   4.0000e+02   0.0000e+00   0.0000e+00  -1.1869e+07
         260   1.3000e+03   5.0000e+02   0.0000e+00  -9.6952e+06
         270   2.0000e+03   2.0000e+02   0.0000e+00  -7.6560e+06
         291   2.7000e+03   2.0003e+02   0.0000e+00  -4.2634e+06
         299   3.7500e+03   0.0000e+00   0.0000e+00  -5.2582e+05
         308   2.7000e+03   0.0000e+00   0.0000e+00  -4.2729e+06
