Listagem de informações criada por	PC
Data	05-Dec-2023 00:11:24
Peça de trabalho atual	C:\Users\PC\Desktop\nx\geometria final_fem1.fem
Nome do nó	HP


 
------------------------------------------------------------
 
              INFORMAÇÕES DE ELEMENTOS
 
------------------------------------------------------------
 
 
INFORMAÇÕES DE ELEMENTOS
  Etiqueta             | Tipo de Elemento | Malha          | Coletor de Malha | Nós Conectados
  70                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 36 386 421
  71                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 35 386 36
  72                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 36 421 369
  73                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 37 369 370
  74                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 36 369 37
  75                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 38 370 371
  76                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 37 370 38
  77                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 39 371 372
  78                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 38 371 39
  79                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 40 372 373
  80                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 39 372 40
  81                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 41 373 374
  82                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 40 373 41
  83                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 335 374 418
  84                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 41 374 335
  85                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 42 335 336
  86                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 41 335 42
  87                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 43 336 337
  88                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 42 336 43
  89                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 44 337 338
  90                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 43 337 44
  91                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 45 338 339
  92                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 44 338 45
  93                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 46 339 340
  94                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 45 339 46
  95                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 47 340 341
  96                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 46 340 47
  97                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 48 341 342
  98                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 47 341 48
  99                   | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 49 342 343
  100                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 48 342 49
  101                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 50 343 344
  102                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 49 343 50
  103                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 51 344 416
  104                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 50 344 51
  105                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 51 416 323
  106                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 51 323 324
  107                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 53 324 325
  108                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 51 324 52
  109                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 52 324 53
  110                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 54 325 326
  111                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 53 325 54
  112                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 55 326 327
  113                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 54 326 55
  114                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 56 327 328
  115                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 55 327 56
  116                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 57 328 414
  117                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 56 328 57
  118                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 57 414 314
  119                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 58 314 315
  120                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 57 314 58
  121                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 59 315 316
  122                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 58 315 59
  123                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 60 316 317
  124                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 59 316 60
  125                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 61 317 318
  126                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 60 317 61
  127                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 62 318 319
  128                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 61 318 62
  129                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 63 319 320
  130                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 62 319 63
  131                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 64 320 321
  132                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 63 320 64
  133                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 65 321 322
  134                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 64 321 65
  135                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 66 322 415
  136                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 65 322 66
  137                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 66 415 329
  138                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 67 329 330
  139                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 66 329 67
  140                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 68 330 331
  141                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 67 330 68
  142                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 69 331 332
  143                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 68 331 69
  144                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 70 332 333
  145                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 69 332 70
  146                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 71 333 334
  147                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 70 333 71
  148                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 72 334 417
  149                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 71 334 72
  150                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 72 417 345
  151                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 72 345 346
  152                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 73 346 347
  153                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 72 346 73
  154                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 74 347 348
  155                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 73 347 74
  156                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 75 348 349
  157                  | CTRIA3           | 2d_mesh(1)     | Thin Shell(1)    | 74 348 75
