Information listing created by	User
Date	10-Dec-2023 21:43:42
Current work part	C:\Users\User\Desktop\Nx\geometria finalSim_fem3.fem
Node name	DESKTOP-RF


 
------------------------------------------------------------
 
              ELEMENT INFORMATION
 
------------------------------------------------------------
 
 
ELEMENT INFORMATION
  Label                | Element Type   | Mesh                    | Mesh Collector | Connected Nodes
  71                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 5 20 65
  72                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 135 66 52
  73                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 65 135 27
  74                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 65 66 135
  75                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 64 66 65
  76                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 66 63 52
  77                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 66 64 63
  78                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 21 64 20
  79                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 62 134 54
  80                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 62 21 134
  81                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 64 62 63
  82                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 64 21 62
  83                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 63 51 52
  84                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 67 63 62
  85                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 51 67 19
  86                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 51 63 67
  87                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 62 68 67
  88                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 68 54 53
  89                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 68 62 54
  90                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 53 133 68
  91                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 53 17 133
  92                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 67 18 19
  93                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 18 68 133
  94                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 18 67 68
  95                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 52 136 41
  96                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 24 52 51
  97                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 24 136 52
  98                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 41 135 52
  99                   | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 32 69 40
  100                  | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 69 7 26
  101                  | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 69 32 7
  102                  | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 26 135 69
  103                  | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 40 135 41
  104                  | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 40 69 135
  105                  | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 4 51 19
  106                  | CTRIA3         | 2d_mesh(1)              | Thin Shell(3)  | 4 24 51
  107                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 130 123 76
  108                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 130 76 116
  109                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 73 117 116
  110                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 73 116 76
  111                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 74 122 75
  112                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 125 75 122
  113                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 125 122 131
  114                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 74 73 76
  115                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 123 122 74
  116                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 123 74 76
  117                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 78 118 117
  118                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 73 77 78
  119                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 73 78 117
  120                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 77 35 34
  121                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 138 119 118
  122                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 138 118 34
  123                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 78 77 34
  124                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 78 34 118
  125                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 79 35 77
  126                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 74 75 79
  127                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 77 73 74
  128                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 77 74 79
  129                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 139 35 79
  130                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 75 125 124
  131                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 75 124 79
  132                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 124 9 139
  133                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 124 139 79
  134                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 80 33 6
  135                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 72 71 80
  136                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 80 6 113
  137                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 80 113 72
  138                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 71 121 120
  139                  | CTRIA3         | 2d_mesh(1)_reflected(1) | Thin Shell(3)  | 80 71 120
