Listagem de informações criada por	PC
Data	05-Dec-2023 01:12:42
Peça de trabalho atual	C:\Users\PC\Desktop\nx\geometria final 2_fem5.fem
Nome do nó	HP


 
------------------------------------------------------------
 
              INFORMAÇÕES DE ELEMENTOS
 
------------------------------------------------------------
 
 
INFORMAÇÕES DE ELEMENTOS
  Etiqueta             | Tipo de Elemento | Malha          | Coletor de Malha | Nós Conectados
  1                    | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 2 627 628 116 635 117
  2                    | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 1 627 2 118 116 119
  3                    | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 3 628 629 120 636 121
  4                    | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 2 628 3 117 120 122
  5                    | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 4 629 630 123 637 124
  6                    | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 3 629 4 121 123 125
  7                    | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 5 630 631 126 638 127
  8                    | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 4 630 5 124 126 128
  9                    | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 6 631 632 129 639 130
  10                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 5 631 6 127 129 131
  11                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 7 632 633 132 640 133
  12                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 6 632 7 130 132 134
  13                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 8 633 634 135 641 136
  14                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 7 633 8 133 135 137
  15                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 9 634 669 138 642 139
  16                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 8 634 9 136 138 140
  17                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 9 669 588 139 594 141
  18                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 9 588 589 141 595 142
  19                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 11 589 590 143 596 144
  20                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 9 589 10 142 145 146
  21                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 10 589 11 145 143 147
  22                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 12 590 591 148 597 149
  23                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 11 590 12 144 148 150
  24                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 13 591 592 151 598 152
  25                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 12 591 13 149 151 153
  26                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 14 592 593 154 599 155
  27                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 13 592 14 152 154 156
  28                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 15 593 667 157 600 158
  29                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 14 593 15 155 157 159
  30                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 15 667 548 158 558 160
  31                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 15 548 549 160 559 161
  32                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 17 549 550 162 560 163
  33                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 15 549 16 161 164 165
  34                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 16 549 17 164 162 166
  35                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 18 550 551 167 561 168
  36                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 17 550 18 163 167 169
  37                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 19 551 552 170 562 171
  38                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 18 551 19 168 170 172
  39                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 20 552 553 173 563 174
  40                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 19 552 20 171 173 175
  41                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 21 553 554 176 564 177
  42                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 20 553 21 174 176 178
  43                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 22 554 555 179 565 180
  44                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 21 554 22 177 179 181
  45                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 23 555 556 182 566 183
  46                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 22 555 23 180 182 184
  47                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 24 556 557 185 567 186
  48                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 23 556 24 183 185 187
  49                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 25 557 664 188 568 189
  50                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 24 557 25 186 188 190
  51                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 25 664 530 189 533 191
  52                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 26 530 531 192 534 193
  53                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 25 530 26 191 192 194
  54                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 27 531 532 195 535 196
  55                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 26 531 27 193 195 197
  56                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 28 532 665 198 536 199
  57                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 27 532 28 196 198 200
  58                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 28 665 537 199 542 201
  59                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 29 537 538 202 543 203
  60                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 28 537 29 201 202 204
  61                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 30 538 539 205 544 206
  62                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 29 538 30 203 205 207
  63                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 31 539 540 208 545 209
  64                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 30 539 31 206 208 210
  65                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 32 540 541 211 546 212
  66                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 31 540 32 209 211 213
  67                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 33 541 666 214 547 215
  68                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 32 541 33 212 214 216
  69                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 33 666 569 215 578 217
  70                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 33 569 570 217 579 218
  71                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 34 570 571 219 580 220
  72                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 33 570 34 218 219 221
  73                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 35 571 572 222 581 223
  74                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 34 571 35 220 222 224
  75                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 36 572 573 225 582 226
  76                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 35 572 36 223 225 227
  77                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 37 573 574 228 583 229
  78                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 36 573 37 226 228 230
  79                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 38 574 575 231 584 232
  80                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 37 574 38 229 231 233
  81                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 39 575 576 234 585 235
  82                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 38 575 39 232 234 236
  83                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 40 576 577 237 586 238
  84                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 39 576 40 235 237 239
  85                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 41 577 668 240 587 241
  86                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 40 577 41 238 240 242
  87                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 41 668 601 241 606 243
  88                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 41 601 602 243 607 244
  89                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 43 602 603 245 608 246
  90                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 41 602 42 244 247 248
  91                   | CTRIA6           | 2d_mesh(1)     | Thin Shell(1)    | 42 602 43 247 245 249
