    ID de Nó     Coord. X     Coord. Y     Coord. Z      Escalar
           1   2.0000e+03   5.5000e+02   0.0000e+00  -7.8790e+00
       17478   1.3000e+03   0.0000e+00   0.0000e+00  -9.8897e+00
       17511   4.0000e+02   0.0000e+00   0.0000e+00  -1.2054e+01
       17609   1.3000e+03   5.0000e+02   0.0000e+00  -9.8672e+00
       17671   2.0000e+03   2.0000e+02   0.0000e+00  -7.8030e+00
       17792   2.7000e+03   2.0003e+02   0.0000e+00  -4.3544e+00
       17881   3.7500e+03   0.0000e+00   0.0000e+00  -5.2624e-01
       17920   2.7000e+03   0.0000e+00   0.0000e+00  -4.3513e+00
