    ID de Nó     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
           1   2.0000e+03   5.5000e+02   0.0000e+00  -2.1760e-06   2.2491e-07   0.0000e+00   2.1876e-06
         165   1.3000e+03   0.0000e+00   0.0000e+00  -2.7106e-06  -4.4225e-08   0.0000e+00   2.7110e-06
         168   4.0000e+02   0.0000e+00   0.0000e+00  -2.0847e-06   3.9293e-08   0.0000e+00   2.0850e-06
         177   1.3000e+03   5.0000e+02   0.0000e+00  -4.0408e-06   6.9124e-08   0.0000e+00   4.0414e-06
         187   2.0000e+03   2.0000e+02   0.0000e+00  -4.1510e-06   3.4220e-07   0.0000e+00   4.1651e-06
         201   2.7000e+03   2.0003e+02   0.0000e+00  -6.9466e-06   1.9846e-07   0.0000e+00   6.9494e-06
         211   3.7500e+03   0.0000e+00   0.0000e+00  -2.1410e-06  -6.7936e-08   0.0000e+00   2.1421e-06
         214   2.7000e+03   0.0000e+00   0.0000e+00  -6.7090e-06   1.5032e-07   0.0000e+00   6.7107e-06
