    ID Elem.     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
           1   1.9666e+03   7.1667e+02   0.0000e+00  -1.7667e-06   3.7999e-08   0.0000e+00   1.7671e-06
           2   1.2174e+03   4.9076e+02   0.0000e+00  -4.0477e-06   9.6088e-07   0.0000e+00   4.1602e-06
           5   9.1614e+02   7.5214e+02   0.0000e+00  -9.1724e-07   3.3256e-07   0.0000e+00   9.7567e-07
           6   9.8705e+02   7.0170e+02   0.0000e+00  -7.7929e-07   1.0134e-06   0.0000e+00   1.2784e-06
           7   1.0672e+03   5.5411e+02   0.0000e+00  -2.3911e-06   1.7205e-06   0.0000e+00   2.9457e-06
          11   7.2123e+02   7.1157e+02   0.0000e+00  -1.6510e-06   1.6182e-07   0.0000e+00   1.6589e-06
          16   8.6246e+02   8.3474e+01   0.0000e+00  -2.3926e-06   9.0958e-08   0.0000e+00   2.3943e-06
          17   5.5911e+02   8.4566e+01   0.0000e+00  -2.1447e-06   4.5941e-08   0.0000e+00   2.1452e-06
          20   4.4459e+02   7.0189e+02   0.0000e+00  -1.8974e-06   4.5914e-08   0.0000e+00   1.8980e-06
          22   1.0438e+02   6.6667e+02   0.0000e+00  -1.9849e-06   1.9234e-08   0.0000e+00   1.9850e-06
          24   9.5184e+01   2.1135e+02   0.0000e+00  -2.0097e-06   2.8935e-08   0.0000e+00   2.0099e-06
          25   2.2852e+02   7.8016e+01   0.0000e+00  -2.0364e-06   1.6370e-08   0.0000e+00   2.0365e-06
          29   1.1623e+03   8.4117e+01   0.0000e+00  -2.7207e-06   5.1934e-08   0.0000e+00   2.7212e-06
          30   1.4439e+03   7.2550e+01   0.0000e+00  -2.5930e-06  -1.2387e-07   0.0000e+00   2.5960e-06
          42   1.7860e+03   1.2079e+02   0.0000e+00  -1.8255e-06  -1.4248e-06   0.0000e+00   2.3157e-06
          43   1.6956e+03   7.2679e+01   0.0000e+00  -1.7445e-06  -5.2855e-07   0.0000e+00   1.8228e-06
          47   1.3707e+03   4.7831e+02   0.0000e+00  -4.1261e-06  -8.2736e-07   0.0000e+00   4.2083e-06
          49   1.6275e+03   6.8685e+02   0.0000e+00  -1.0531e-06  -1.0589e-06   0.0000e+00   1.4934e-06
          50   1.7096e+03   7.3729e+02   0.0000e+00  -1.1934e-06  -3.6415e-07   0.0000e+00   1.2477e-06
          51   1.5298e+03   5.4149e+02   0.0000e+00  -2.6514e-06  -1.8086e-06   0.0000e+00   3.2095e-06
          56   2.2431e+03   7.4533e+02   0.0000e+00  -1.0110e-06   2.6768e-07   0.0000e+00   1.0459e-06
          57   2.3532e+03   6.7100e+02   0.0000e+00  -5.5375e-07   9.0167e-07   0.0000e+00   1.0581e-06
          58   1.9223e+03   2.1690e+02   0.0000e+00  -4.1332e-06  -1.1762e-06   0.0000e+00   4.2972e-06
          62   3.4948e+03   7.2604e+02   0.0000e+00  -1.6793e-06  -8.9878e-08   0.0000e+00   1.6817e-06
          63   3.9167e+03   1.3333e+02   0.0000e+00  -2.0792e-06  -1.3218e-08   0.0000e+00   2.0792e-06
          65   3.8855e+03   6.6667e+02   0.0000e+00  -1.9137e-06  -1.8108e-08   0.0000e+00   1.9138e-06
          68   3.1946e+03   9.4561e+01   0.0000e+00  -3.0265e-06  -4.2138e-07   0.0000e+00   3.0557e-06
          69   2.8117e+03   6.6674e+01   0.0000e+00  -6.4313e-06  -4.3232e-07   0.0000e+00   6.4458e-06
          70   2.8703e+03   1.6511e+02   0.0000e+00  -5.9109e-06  -2.3016e-06   0.0000e+00   6.3432e-06
          71   3.0035e+03   3.7534e+02   0.0000e+00  -2.0792e-06  -2.3526e-06   0.0000e+00   3.1397e-06
          73   3.5434e+03   9.9378e+01   0.0000e+00  -2.2569e-06  -1.0788e-07   0.0000e+00   2.2595e-06
          76   3.0722e+03   6.2972e+02   0.0000e+00  -6.8913e-07  -8.8353e-07   0.0000e+00   1.1205e-06
          77   3.1852e+03   7.1680e+02   0.0000e+00  -9.8392e-07  -3.0017e-07   0.0000e+00   1.0287e-06
          81   2.0947e+03   2.1447e+02   0.0000e+00  -4.3366e-06   1.8263e-06   0.0000e+00   4.7054e-06
          82   2.2067e+03   9.5221e+01   0.0000e+00  -2.0343e-06   2.2403e-06   0.0000e+00   3.0261e-06
          83   2.3889e+03   4.8411e+02   0.0000e+00  -1.2632e-06   2.3544e-06   0.0000e+00   2.6719e-06
          88   2.4246e+03   4.5568e+01   0.0000e+00  -4.1909e-06   5.7497e-07   0.0000e+00   4.2302e-06
          89   2.2716e+03   4.7110e+01   0.0000e+00  -2.1350e-06   8.4847e-07   0.0000e+00   2.2974e-06
          92   2.4603e+03   3.2548e+02   0.0000e+00  -2.9089e-06   3.6285e-06   0.0000e+00   4.6506e-06
          94   2.5908e+03   4.1219e+01   0.0000e+00  -6.2515e-06   4.3780e-07   0.0000e+00   6.2668e-06
          97   2.6089e+03   1.9679e+02   0.0000e+00  -7.9999e-06   3.0823e-06   0.0000e+00   8.5731e-06
