# - Escoamento_Potencial de velocidade
# Coordenadas dos nos
673
246 -19.936 732.6066
247 -182.4756 720.8208
248 -258.4388 682.9996
249 -131.5204 653.4274
250 65.6386 734.1457
251 157.9037 734.1457
252 31.4271 666.7523
253 244.7502 740.0773
254 337.0152 740.0773
255 203.8482 674.223
256 412.331 743.4461
257 495.6632 743.4461
258 366.0105 683.5234
259 502.4301 681.0896
260 526.2236 628.6553
261 543.0222 581.7753
262 465.1198 634.458
263 578.7363 526.2637
264 607.7126 492.38
265 524.6274 526.5121
266 679.6789 475.709
267 722.0929 474.2598
268 632.3079 454.3294
269 795.1942 491.0493
270 825.0636 523.5589
271 777.3755 454.4478
272 859.9062 579.5729
273 877.7766 627.018
274 885.3194 527.2513
275 901.5218 679.8803
276 908.8262 744.4949
277 943.9072 636.1276
278 997.694 744.4949
279 1078.6637 742.3773
280 1175.8249 742.3773
281 1048.6221 686.8722
282 1269.6006 736.2799
283 1366.8434 736.2799
284 1223.3675 678.6572
285 1463.2347 735.6521
286 1560.4774 735.6521
287 1413.5345 671.932
288 1648.5731 735.0649
289 1745.8158 735.0649
290 1598.0215 670.7169
291 1825.7086 725.2356
292 1922.9513 725.2356
293 1766.0099 660.3005
294 1922.9513 625.2356
295 1925.948 544.6634
296 1925.948 444.6634
297 1848.8993 569.8991
298 1912.9068 347.4714
299 1912.9068 247.4714
300 1838.8548 392.1348
301 1937.1805 163.0069
302 1937.1805 63.0069
303 1850.0873 210.4782
304 1849.4728 63.0069
305 1774.8417 69.378
306 1687.134 69.378
307 1799.73 132.3848
308 1599.6954 68.5057
309 1637.6603 137.8837
310 -317.3518 165.4696
311 -1776.0763 217.9596
312 -278.7676 630.7159
313 1775.4563 216.8494
314 1136.9133 188.3212
315 1048.7424 185.2228
316 1226.8492 194.4649
317 1171.5822 254.7958
318 961.848 178.3805
319 875.7166 174.8256
320 994.7518 241.8097
321 792.5645 167.2664
322 710.364 163.4029
323 824.7052 227.4081
324 641.0414 152.36
325 562.185 152.6687
326 672.2306 208.8061
327 484.3485 172.1953
328 407.7075 171.3411
329 525.0715 217.2898
330 316.6949 153.3092
331 356.2225 218.7844
332 278.2311 277.7253
333 213.4207 308.8372
334 369.2437 295.7572
335 117.2087 329.1984
336 51.2276 339.8465
337 195.0404 375.0592
338 -42.5398 344.9219
339 -106.2397 331.9819
340 5.061 400.4958
341 -186.5735 292.6787
342 -246.5925 256.5756
343 -169.0403 366.2681
344 -300.6631 219.1164
345 -374.2041 198.3997
346 -303.4447 289.5057
347 -438.7121 188.9358
348 -510.3641 174.029
349 -422.0234 242.5826
350 -571.9718 156.787
351 -646.0956 153.0957
352 -548.1391 215.8767
353 -710.9796 164.6271
354 -791.5807 167.8903
355 -674.6307 210.1662
356 -874.6694 177.0165
357 -961.5193 181.0395
358 -822.6034 230.8238
359 -1051.1954 190.0861
360 -1140.3315 193.7169
361 -995.3682 248.9965
362 -1233.2308 199.9607
363 -1322.909 202.4669
364 -1177.9437 264.2871
365 -1413.9778 204.9676
366 -1502.5551 206.847
367 -1361.9117 273.0317
368 -1591 210.7155
369 -1678.0831 211.4338
370 -1541.4254 279.401
371 -1727.8635 289.7953
372 -1760.6958 365.0042
373 -1773.2328 462.4617
374 -1662.7026 358.4785
375 -1793.7283 525.2865
376 -1791.1987 605.5923
377 -1716.0304 496.5123
378 -1713.2097 615.4641
379 -1646.6316 610.6531
380 -1563.2358 611.2552
381 -1669.9478 554.5261
382 -1481.9497 609.0299
383 -1396.9979 609.228
384 -1522.0836 547.4899
385 -1313.8053 611.4915
386 -1236.0927 612.9871
387 -1357.6049 547.5282
388 -1167.3829 623.0443
389 -1096.5134 620.2335
390 -1205.7025 559.8489
391 -1067.8287 547.0123
392 -981.5612 450.4451
393 -913.0076 419.7377
394 -1077.0254 473.0951
395 -1146.1895 495.9888
396 -1059.922 399.4217
397 -824.0814 410.5264
398 -773.1701 406.7262
399 -875.5316 367.5604
400 -726.1001 396.9707
401 -636.4205 380.1257
402 -574.6696 389.977
403 -696.9258 341.504
404 -480.8649 413.7129
405 -423.7014 446.7265
406 -513.4416 348.395
407 -346.9299 506.4569
408 -307.3678 555.6909
409 -342.8655 431.8613
410 -237.4937 566.6166
411 -163.0337 595.6022
412 -85.6608 607.3879
413 -191.634 520.5772
414 -12.424 600.6629
415 73.1506 602.2021
416 -43.9373 542.8377
417 172.846 599.1828
418 259.6925 605.1144
419 128.995 533.0934
420 332.3538 637.0073
421 407.6697 640.3761
422 301.3517 561.967
423 431.4631 587.9418
424 446.1444 533.3334
425 481.8585 477.8218
426 388.6942 539.2515
427 589.3085 398.8757
428 661.2748 382.2047
429 513.0657 423.5267
430 434.5827 430.348
431 542.0327 351.4019
432 751.8795 389.8401
433 824.9808 406.6295
434 708.8801 334.3863
435 935.4121 480.0423
436 970.2547 536.0563
437 908.8434 416.3835
438 883.3473 351.7757
439 993.7787 425.1885
440 982.0686 591.2087
441 1005.8138 644.071
442 1032.1613 543.9997
443 1086.7835 641.9533
444 1165.0539 611.7457
445 1258.8296 605.6484
446 1122.2456 568.9445
447 1366.4087 606.4541
448 1462.8001 605.8262
449 1308.0952 539.5426
450 1552.8878 609.0252
451 1640.9834 608.438
452 1505.762 543.5473
453 1710.6235 613.6043
454 1790.5163 603.7751
455 1665.4898 551.9126
456 1793.5129 523.2029
457 1772.0829 460.1018
458 1759.0417 362.9097
459 1713.6998 493.9778
460 1725.8487 287.7959
461 1675.4914 209.7025
462 1659.0768 355.7628
463 1588.0528 208.8302
464 1497.051 203.9037
465 1407.6843 201.8812
466 1534.882 275.7225
467 1316.5032 196.953
468 1352.6992 265.8677
469 -1649.4523 491.7013
470 1644.0597 488.8115
471 -1404.1732 344.4857
472 -1313.1044 341.9849
473 -1579.7716 350.2811
474 -1491.3267 346.4126
475 -1612.6039 425.4901
476 -1566.5213 483.504
477 -1442.5194 415.3658
478 -1485.2352 481.2787
479 -1398.0817 479.3518
480 -1314.8891 481.6153
481 -1213.1146 346.3013
482 -1120.2153 340.0574
483 -1255.3761 417.7553
484 -1214.8992 485.9317
485 1024.4281 305.0908
486 937.5336 298.2485
487 1054.8752 372.312
488 1112.0934 315.8732
489 1604.9904 421.4585
490 1556.7804 479.3932
491 1571.7974 346.3446
492 1480.7957 341.4181
493 1466.6927 476.1943
494 1424.0286 406.4747
495 1373.0102 470.6288
496 1387.1132 335.8526
497 1295.9321 330.9244
498 1265.4311 469.823
499 1110.4317 513.7921
500 1081.444 435.9708
501 1171.5283 460.9156
502 1202.0293 322.0169
503 1236.4433 392.0018
504 532.7552 281.7836
505 610.5917 262.2571
506 456.5125 306.4346
507 770.519 280.9353
508 853.671 288.4946
509 679.9143 273.2999
510 -846.1487 299.1495
511 -935.0749 308.3608
512 -1024.7511 317.4074
513 378.5211 365.3754
514 347.314 419.6706
515 163.7594 462.7472
516 259.9714 442.3861
517 64.064 465.7665
518 316.0329 507.3586
519 -453.0842 302.6248
520 -546.8888 278.8889
521 -388.5761 312.0887
522 -608.4965 261.6469
523 -763.0601 290.0233
524 -673.3805 273.1783
525 -29.7035 470.842
526 -102.9403 477.567
527 -257.734 409.2783
528 -334.5055 349.5479
529 -177.4002 448.5814
530 -2000 200
531 -2000 400
532 -2000 600
533 -2000 100
534 -2000 300
535 -2000 500
536 -2000 700
537 -1809.9098 800
538 -1619.8197 800
539 -1429.7295 800
540 -1252.9379 800
541 -1109.5946 800
542 -1904.9549 800
543 -1714.8647 800
544 -1524.7746 800
545 -1341.3337 800
546 -1181.2663 800
547 -1054.7973 800
548 -303.3208 0
549 -437.2227 0
550 -598.2399 0
551 -772.0915 0
552 -947.507 0
553 -1122.9225 0
554 -1298.338 0
555 -1473.7535 0
556 -1649.169 0
557 -1824.5845 0
558 -251.6604 0
559 -370.2718 0
560 -517.7313 0
561 -685.1657 0
562 -859.7993 0
563 -1035.2148 0
564 -1210.6303 0
565 -1386.0458 0
566 -1561.4613 0
567 -1736.8768 0
568 -1912.2923 0
569 -985.3152 707.2955
570 -942.7044 623.6649
571 -876.3351 557.2956
572 -792.7045 514.6848
573 -700 500
574 -607.2955 514.6848
575 -523.6649 557.2956
576 -457.2956 623.6649
577 -414.6848 707.2955
578 -996.2933 753.0696
579 -967.3017 663.803
580 -912.1306 587.8694
581 -836.197 532.6983
582 -746.9302 503.6949
583 -653.0698 503.6949
584 -563.803 532.6983
585 -487.8694 587.8694
586 -432.6983 663.803
587 -403.7067 753.0696
588 180.1923 86.7761
589 124.6965 156.3644
590 44.5041 194.985
591 -44.5041 194.985
592 -124.6965 156.3644
593 -180.1923 86.7761
594 194.9809 44.5045
595 156.3644 124.6965
596 86.7761 180.1923
597 0 200
598 -86.7761 180.1923
599 -156.3644 124.6965
600 -194.9809 44.5045
601 -293.7661 800
602 -156.0578 800
603 14.2755 800
604 198.8056 800
605 383.3357 800
606 -346.8831 800
607 -224.912 800
608 -70.8911 800
609 106.5406 800
610 291.0707 800
611 466.6679 800
612 563.5339 675.2869
