    ID de Nó     Coord. X     Coord. Y     Coord. Z            X            Y            Z    Magnitude
           1   2.0000e+03   5.5000e+02   0.0000e+00  -2.1677e+00   2.2427e-01   0.0000e+00   2.1793e+00
         243   1.3000e+03   0.0000e+00   0.0000e+00  -2.6900e+00  -2.3829e-02   0.0000e+00   2.6901e+00
         251   4.0000e+02   0.0000e+00   0.0000e+00  -2.0807e+00   1.8013e-02   0.0000e+00   2.0808e+00
         260   1.3000e+03   5.0000e+02   0.0000e+00  -4.2789e+00  -4.4023e-02   0.0000e+00   4.2791e+00
         270   2.0000e+03   2.0000e+02   0.0000e+00  -4.7136e+00   1.1436e-01   0.0000e+00   4.7150e+00
         291   2.7000e+03   2.0003e+02   0.0000e+00  -9.2506e+00  -5.3722e-01   0.0000e+00   9.2662e+00
         299   3.7500e+03   0.0000e+00   0.0000e+00  -2.1344e+00  -2.2734e-02   0.0000e+00   2.1345e+00
         308   2.7000e+03   0.0000e+00   0.0000e+00  -6.6426e+00  -4.4116e-02   0.0000e+00   6.6427e+00
